Input Size,Average,Minimum,Maximum
50,229.5,226,235
100,550.5,542,557
150,903.4,890,916
200,1285.1,1266,1305
250,1691.6,1683,1705
300,2104.9,2096,2127
350,2536.6,2515,2545
400,2970.3,2942,2996
450,3417.2,3402,3428
500,3869.7,3858,3886
550,4331.8,4307,4360
600,4803.8,4781,4836
650,5282.3,5246,5312
700,5761.4,5737,5777
750,6240.9,6222,6266
800,6727.6,6692,6756
850,7233.6,7200,7270
900,7715.1,7698,7740
950,8215.1,8183,8251
1000,8723.9,8703,8736
1050,9232.7,9198,9251
1100,9754.7,9706,9797
1150,10272.9,10236,10299
1200,10799.1,10771,10817
1250,11317,11289,11348
1300,11843,11815,11864
1350,12380.4,12352,12413
1400,12897.7,12863,12958
1450,13447.9,13411,13485
1500,13979.6,13945,14025
1550,14523,14477,14570
1600,15051.3,15021,15077
1650,15587,15544,15629
1700,16145.3,16127,16168
1750,16679.6,16644,16715
1800,17236.5,17191,17275
1850,17771.4,17736,17814
1900,18324.9,18269,18372
1950,18864,18821,18892
2000,19425.8,19385,19473
