Input Size,Average,Minimum,Maximum
50,586,586,586
100,1360,1360,1360
150,2206,2206,2206
200,3106,3106,3106
250,4006,4006,4006
300,4996,4996,4996
350,5996,5996,5996
400,6996,6996,6996
450,7996,7996,7996
500,8996,8996,8996
550,10074,10074,10074
600,11174,11174,11174
650,12274,12274,12274
700,13374,13374,13374
750,14474,14474,14474
800,15574,15574,15574
850,16674,16674,16674
900,17774,17774,17774
950,18874,18874,18874
1000,19974,19974,19974
1050,21128,21128,21128
1100,22328,22328,22328
1150,23528,23528,23528
1200,24728,24728,24728
1250,25928,25928,25928
1300,27128,27128,27128
1350,28328,28328,28328
1400,29528,29528,29528
1450,30728,30728,30728
1500,31928,31928,31928
1550,33128,33128,33128
1600,34328,34328,34328
1650,35528,35528,35528
1700,36728,36728,36728
1750,37928,37928,37928
1800,39128,39128,39128
1850,40328,40328,40328
1900,41528,41528,41528
1950,42728,42728,42728
2000,43928,43928,43928
