Input Size,Average,Minimum,Maximum
50,291.5,260,315
100,748.3,653,915
150,1215.3,955,1343
200,1835.3,1603,2317
250,2372.9,2179,2749
300,2902,2706,3322
350,3451.1,3237,3951
400,4123.3,3821,4586
450,4577.6,4330,4804
500,5091.3,4753,5559
550,5965.4,5442,6704
600,6715.3,6184,7315
650,7279.4,6801,7919
700,7764.7,7248,8256
750,8585.3,8079,9665
800,9214.7,8538,9883
850,9999,9370,11225
900,10564.5,9589,11512
950,11311.2,10522,12399
1000,12124.1,11456,12676
1050,12385.8,11905,13008
1100,13294.7,12507,14318
1150,14132.4,13384,15820
1200,15182.1,13691,16868
1250,15278,14485,16447
1300,15857.4,14750,17344
1350,16858.8,15900,17460
1400,17474.2,16018,18839
1450,18705.4,17699,19920
1500,19082.6,17763,22272
1550,19704.5,18825,21267
1600,20859.7,19357,23161
1650,20920.3,19710,22679
1700,21556.3,20182,23621
1750,23515.2,21975,26207
1800,23085.1,21798,25139
1850,24911.2,22631,27373
1900,25363.7,23893,27111
1950,25762.5,24406,29073
2000,26741.6,24912,28553
