Input Size,Average,Minimum,Maximum
50,204.8,173,258
100,467.2,383,586
150,805.9,626,952
200,1115.1,948,1415
250,1447,1111,1623
300,1817.7,1506,2145
350,2077.8,1478,2410
400,2513.4,1894,2796
450,2602.2,2432,2935
500,3189.8,2953,3587
550,3650.7,2767,4367
600,3954.9,3431,4392
650,4268.9,3837,4847
700,4700.5,4121,5330
750,5209.5,4584,5581
800,5489.1,4887,6139
850,5895.2,5036,6926
900,6114.1,5036,6909
950,6534.3,5178,8162
1000,7135.8,5471,8514
1050,7279.6,6708,8113
1100,7964.1,5974,9066
1150,8292,7246,9108
1200,9125.8,7846,10990
1250,9258.5,7625,11265
1300,9163.7,7990,10725
1350,9922.1,9153,11130
1400,10636.4,9540,11964
1450,10902.7,9270,12587
1500,11163.8,9750,13369
1550,11329.5,10309,12279
1600,12202.9,10361,14187
1650,12597.7,9089,14827
1700,12530.1,11906,13560
1750,13286.4,12055,16557
1800,13765.1,11595,15189
1850,14211.8,13030,16530
1900,14770.9,12945,16199
1950,14425.3,12570,15680
2000,15566,12872,17310
